query,intent,entities
"Transfer $80 from my primary account.",transfer_money,"[{'entity': 'amount', 'value': '80'}, {'entity': 'source_account', 'value': 'primary'}]"
"List the transactions from the last two weeks.",get_transactions,"[{'entity': 'timeframe', 'value': 'last two weeks'}]"
"I need to open a retirement fund.",open_account,"[{'entity': 'product', 'value': 'retirement fund'}]"
"Is there an email for support?",contact_support,"[{'entity': 'channel', 'value': 'email'}]"
"What is the balance on my auto loan?",get_balance,"[{'entity': 'account_type', 'value': 'auto loan'}]"
"Send $30 to a different bank.",transfer_money,"[{'entity': 'amount', 'value': '30'}, {'entity': 'destination_type', 'value': 'different bank'}]"
"Show me pending transactions.",get_transactions,"[{'entity': 'status', 'value': 'pending'}]"
"I want to know about opening a HELOC.",open_account,"[{'entity': 'product', 'value': 'HELOC'}]"
"My card was lost.",contact_support,"[{'entity': 'problem', 'value': 'card lost'}]"
"Checking balance.",get_balance,"[{'entity': 'account_type', 'value': 'checking'}]"
"Transfer $100 tomorrow morning.",transfer_money,"[{'entity': 'amount', 'value': '100'}, {'entity': 'timeframe', 'value': 'tomorrow morning'}]"
"Show me my last transaction.",get_transactions,"[{'entity': 'transaction_count', 'value': '1'}]"
"How to get a new credit card.",open_account,"[{'entity': 'product', 'value': 'credit card'}]"
"Need to file a complaint.",contact_support,"[{'entity': 'action', 'value': 'file a complaint'}]"
"Savings balance is what?",get_balance,"[{'entity': 'account_type', 'value': 'savings'}]"
"Move $40 over.",transfer_money,"[{'entity': 'amount', 'value': '40'}]"
"List transactions by merchant.",get_transactions,"[{'entity': 'sort_by', 'value': 'merchant'}]"
"I need information on investment accounts.",open_account,"[{'entity': 'product', 'value': 'investment accounts'}]"
"I have a general question.",contact_support,"[{'entity': 'query_type', 'value': 'general question'}]"
"Balance of my business checking account.",get_balance,"[{'entity': 'account_type', 'value': 'business checking'}]"
"Transfer money to my partner's account.",transfer_money,"[{'entity': 'recipient', 'value': 'partner'}]"
"Show all charges for the month of April.",get_transactions,"[{'entity': 'transaction_type', 'value': 'charges'}, {'entity': 'timeframe', 'value': 'April'}]"
"I want to apply for a secured card.",open_account,"[{'entity': 'product', 'value': 'secured card'}]"
"Need technical support.",contact_support,"[{'entity': 'support_type', 'value': 'technical'}]"
"What's in account 009988?",get_balance,"[{'entity': 'account_number', 'value': '009988'}]"
"Transfer $200 from savings to checking on the 1st.",transfer_money,"[{'entity': 'amount', 'value': '200'}, {'entity': 'source_account', 'value': 'savings'}, {'entity': 'destination_account', 'value': 'checking'}, {'entity': 'timeframe', 'value': 'the 1st'}]"
"Transaction history for my joint account.",get_transactions,"[{'entity': 'account_type', 'value': 'joint account'}]"
"Steps to open a wealth management account.",open_account,"[{'entity': 'product', 'value': 'wealth management account'}]"
"I need to report a scam.",contact_support,"[{'entity': 'problem', 'value': 'scam'}]"
"How much have I got left in my flex spending account?",get_balance,"[{'entity': 'account_type', 'value': 'flex spending account'}]"
"Move $10 over right now.",transfer_money,"[{'entity': 'amount', 'value': '10'}, {'entity': 'timeframe', 'value': 'right now'}]"
"List transactions sorted by date.",get_transactions,"[{'entity': 'sort_by', 'value': 'date'}]"
"I want a loan for education.",open_account,"[{'entity': 'product', 'value': 'education loan'}]"
"Need the bank's general email address.",contact_support,"[{'entity': 'channel', 'value': 'general email address'}]"
"Current balance is what?",get_balance,"[]"
"Transfer $50 every two weeks.",transfer_money,"[{'entity': 'amount', 'value': '50'}, {'entity': 'frequency', 'value': 'every two weeks'}]"
"Show me all my expenses.",get_transactions,"[{'entity': 'transaction_type', 'value': 'expenses'}]"
"Tell me about a new CD account.",open_account,"[{'entity': 'product', 'value': 'CD account'}]"
"My mobile app is crashing.",contact_support,"[{'entity': 'problem', 'value': 'mobile app crashing'}]"
"Balance of account 777777.",get_balance,"[{'entity': 'account_number', 'value': '777777'}]"
"Transfer $150 to account 102030.",transfer_money,"[{'entity': 'amount', 'value': '150'}, {'entity': 'destination_account', 'value': '102030'}]"
"Show me transactions under $5.",get_transactions,"[{'entity': 'amount_range', 'value': 'under $5'}]"
"I want to open a long-term savings account.",open_account,"[{'entity': 'product', 'value': 'long-term savings account'}]"
"I need to speak to someone about a complaint.",contact_support,"[{'entity': 'topic', 'value': 'complaint'}]"
"How much money is in my investment portfolio?",get_balance,"[{'entity': 'account_type', 'value': 'investment portfolio'}]"
"Transfer money to my husband.",transfer_money,"[{'entity': 'recipient', 'value': 'husband'}]"
"List only large transactions.",get_transactions,"[{'entity': 'amount_type', 'value': 'large'}]"
"Open a trust fund.",open_account,"[{'entity': 'product', 'value': 'trust fund'}]"
"Where is the main office branch?",contact_support,"[{'entity': 'location_type', 'value': 'main office branch'}]"
"What is the balance on my student loan?",get_balance,"[{'entity': 'account_type', 'value': 'student loan'}]"
"I need to move 50 dollars.",transfer_money,"[{'entity': 'amount', 'value': '50'}]"
"Show me last quarter's activity.",get_transactions,"[{'entity': 'timeframe', 'value': 'last quarter'}]"
"I want information on opening an HSA.",open_account,"[{'entity': 'product', 'value': 'HSA'}]"
"I can't find my debit card.",contact_support,"[{'entity': 'problem', 'value': 'debit card missing'}]"
"Check balance for checking account 123.",get_balance,"[{'entity': 'account_type', 'value': 'checking'}, {'entity': 'account_number', 'value': '123'}]"
"Transfer 250 dollars this Friday.",transfer_money,"[{'entity': 'amount', 'value': '250'}, {'entity': 'timeframe', 'value': 'this Friday'}]"
"Recent transactions on account 445566.",get_transactions,"[{'entity': 'account_number', 'value': '445566'}]"
"I need to open a retirement account.",open_account,"[{'entity': 'product', 'value': 'retirement account'}]"
"What is the contact number for urgent issues?",contact_support,"[{'entity': 'issue_type', 'value': 'urgent'}]"
"What is the balance of my emergency fund?",get_balance,"[{'entity': 'account_type', 'value': 'emergency fund'}]"
"Move 70 from checking to savings.",transfer_money,"[{'entity': 'amount', 'value': '70'}, {'entity': 'source_account', 'value': 'checking'}, {'entity': 'destination_account', 'value': 'savings'}]"
"Show me the last week's spending.",get_transactions,"[{'entity': 'timeframe', 'value': 'last week'}]"
"I want to know about your home loan options.",open_account,"[{'entity': 'product', 'value': 'home loan options'}]"
"I need to report a payment issue.",contact_support,"[{'entity': 'problem', 'value': 'payment issue'}]"
"How much is in my travel fund?",get_balance,"[{'entity': 'account_type', 'value': 'travel fund'}]"
"Transfer 1500 to my external mortgage payment account.",transfer_money,"[{'entity': 'amount', 'value': '1500'}, {'entity': 'destination_type', 'value': 'external mortgage payment account'}]"
"List my credits and debits.",get_transactions,"[{'entity': 'transaction_type', 'value': 'credits and debits'}]"
"Open a joint checking account.",open_account,"[{'entity': 'product', 'value': 'joint checking account'}]"
"How can I get assistance?",contact_support,"[]"
"Balance of account 999999.",get_balance,"[{'entity': 'account_number', 'value': '999999'}]"
"I need to transfer a large amount of money.",transfer_money,"[{'entity': 'amount_type', 'value': 'large'}]"
"Show me transactions by category.",get_transactions,"[{'entity': 'sort_by', 'value': 'category'}]"
"Tell me about high-yield savings.",open_account,"[{'entity': 'product', 'value': 'high-yield savings'}]"
"I have a problem with my statement date.",contact_support,"[{'entity': 'problem', 'value': 'statement date'}]"
"What's my available spending limit?",get_balance,"[{'entity': 'query_type', 'value': 'available spending limit'}]"
"Transfer 60 dollars on the 15th of next month.",transfer_money,"[{'entity': 'amount', 'value': '60'}, {'entity': 'timeframe', 'value': '15th of next month'}]"
"Where did I spend my money last month?",get_transactions,"[{'entity': 'timeframe', 'value': 'last month'}]"
"I need to apply for a second credit card.",open_account,"[{'entity': 'product', 'value': 'second credit card'}]"
"Can I speak to the manager?",contact_support,"[{'entity': 'role', 'value': 'manager'}]"
"How much is left on account 121212?",get_balance,"[{'entity': 'account_number', 'value': '121212'}]"
"Move $35 from checking to account 506070.",transfer_money,"[{'entity': 'amount', 'value': '35'}, {'entity': 'source_account', 'value': 'checking'}, {'entity': 'destination_account', 'value': '506070'}]"
"List transactions for the period of July to August.",get_transactions,"[{'entity': 'timeframe', 'value': 'July to August'}]"
"Open a new brokerage account.",open_account,"[{'entity': 'product', 'value': 'brokerage account'}]"
"I have an issue with my transaction history.",contact_support,"[{'entity': 'problem', 'value': 'transaction history'}]"
"What's the balance in my investment account?",get_balance,"[{'entity': 'account_type', 'value': 'investment account'}]"
"Transfer money to my son's account.",transfer_money,"[{'entity': 'recipient', 'value': 'son'}]"
"Show me all deposits over $500.",get_transactions,"[{'entity': 'transaction_type', 'value': 'deposits'}, {'entity': 'amount_range', 'value': 'over $500'}]"
"I need information on applying for a grant.",open_account,"[{'entity': 'product', 'value': 'grant'}]"
"My online banking is down.",contact_support,"[{'entity': 'problem', 'value': 'online banking down'}]"
"Current balance for savings account 000111.",get_balance,"[{'entity': 'account_type', 'value': 'savings'}, {'entity': 'account_number', 'value': '000111'}]"
"Schedule a transfer of $200 weekly.",transfer_money,"[{'entity': 'amount', 'value': '200'}, {'entity': 'frequency', 'value': 'weekly'}]"
"Show me the last 7 days of transactions.",get_transactions,"[{'entity': 'timeframe', 'value': 'last 7 days'}]"
"I want to open a flexible spending account.",open_account,"[{'entity': 'product', 'value': 'flexible spending account'}]"
"Can I get a physical address for the corporate office?",contact_support,"[{'entity': 'location_type', 'value': 'corporate office'}]"
"What is the total balance across all accounts?",get_balance,"[{'entity': 'query_type', 'value': 'total balance'}]"
"Transfer $45 to a different account.",transfer_money,"[{'entity': 'amount', 'value': '45'}]"
"List transactions by amount.",get_transactions,"[{'entity': 'sort_by', 'value': 'amount'}]"
"Apply for a debit card.",open_account,"[{'entity': 'product', 'value': 'debit card'}]"
"I received a duplicate charge.",contact_support,"[{'entity': 'problem', 'value': 'duplicate charge'}]"
"How much do I have in my high-interest savings?",get_balance,"[{'entity': 'account_type', 'value': 'high-interest savings'}]"
"Move 1000 from the joint account.",transfer_money,"[{'entity': 'amount', 'value': '1000'}, {'entity': 'source_account', 'value': 'joint account'}]"
"Show all charges for the month.",get_transactions,"[{'entity': 'transaction_type', 'value': 'charges'}, {'entity': 'timeframe', 'value': 'this month'}]"
"Tell me how to start a retirement savings plan.",open_account,"[{'entity': 'product', 'value': 'retirement savings plan'}]"
"I have a question about my account.",contact_support,"[]"
"What is the balance for my auto loan 223344?",get_balance,"[{'entity': 'account_type', 'value': 'auto loan'}, {'entity': 'account_number', 'value': '223344'}]"
"Transfer funds to my external account ending in 5555.",transfer_money,"[{'entity': 'destination_account', 'value': '5555'}]"
"Show me all transactions from last year.",get_transactions,"[{'entity': 'timeframe', 'value': 'last year'}]"
"I need to open a small business checking account.",open_account,"[{'entity': 'product', 'value': 'small business checking account'}]"
"My login isn't working.",contact_support,"[{'entity': 'problem', 'value': 'login not working'}]"
"Checking balance please.",get_balance,"[{'entity': 'account_type', 'value': 'checking'}]"
"Transfer 90 dollars to savings right away.",transfer_money,"[{'entity': 'amount', 'value': '90'}, {'entity': 'destination_account', 'value': 'savings'}, {'entity': 'timeframe', 'value': 'right away'}]"
"List my spending on restaurants.",get_transactions,"[{'entity': 'category', 'value': 'restaurants'}]"
"Apply for a commercial loan.",open_account,"[{'entity': 'product', 'value': 'commercial loan'}]"
"I want to chat with support.",contact_support,"[{'entity': 'channel', 'value': 'chat'}]"
"How much is in my general savings?",get_balance,"[{'entity': 'account_type', 'value': 'general savings'}]"
"Schedule a recurring transfer of $75.",transfer_money,"[{'entity': 'amount', 'value': '75'}, {'entity': 'frequency', 'value': 'recurring'}]"
"Show transactions from the 1st to the 15th.",get_transactions,"[{'entity': 'timeframe', 'value': '1st to the 15th'}]"
"I need to open a corporate account.",open_account,"[{'entity': 'product', 'value': 'corporate account'}]"
"My direct deposit didn't arrive.",contact_support,"[{'entity': 'problem', 'value': 'direct deposit didn\'t arrive'}]"
"What is the balance on my credit card 9876?",get_balance,"[{'entity': 'account_type', 'value': 'credit card'}, {'entity': 'account_number', 'value': '9876'}]"
"Move 500 to my husband's external account.",transfer_money,"[{'entity': 'amount', 'value': '500'}, {'entity': 'recipient_type', 'value': 'husband'}]"
"List all my income deposits.",get_transactions,"[{'entity': 'transaction_type', 'value': 'income deposits'}]"
"New application for a secured loan.",open_account,"[{'entity': 'product', 'value': 'secured loan'}]"
"I have an issue with fees.",contact_support,"[{'entity': 'problem', 'value': 'fees'}]"
"What's the amount in my checking account 334455?",get_balance,"[{'entity': 'account_type', 'value': 'checking'}, {'entity': 'account_number', 'value': '334455'}]"
"Transfer $250 to my daughter's account next month.",transfer_money,"[{'entity': 'amount', 'value': '250'}, {'entity': 'recipient', 'value': 'daughter'}, {'entity': 'timeframe', 'value': 'next month'}]"
"Show me transactions for the last 90 days.",get_transactions,"[{'entity': 'timeframe', 'value': 'last 90 days'}]"
"How do I open an emergency savings account?",open_account,"[{'entity': 'product', 'value': 'emergency savings account'}]"
"Need to escalate my issue.",contact_support,"[{'entity': 'action', 'value': 'escalate'}]"
"Balance of my kids' checking account.",get_balance,"[{'entity': 'account_type', 'value': 'kids'}]"
"Transfer $100 every month on the 5th.",transfer_money,"[{'entity': 'amount', 'value': '100'}, {'entity': 'frequency', 'value': 'monthly'}, {'entity': 'timeframe', 'value': '5th'}]"
"Show all utility bill payments.",get_transactions,"[{'entity': 'category', 'value': 'utility bill payments'}]"
"I want to apply for a second mortgage.",open_account,"[{'entity': 'product', 'value': 'second mortgage'}]"
"Where is the nearest ATM in downtown?",contact_support,"[{'entity': 'location_type', 'value': 'ATM'}, {'entity': 'location', 'value': 'downtown'}]"
"What is the current balance in my tax account?",get_balance,"[{'entity': 'account_type', 'value': 'tax account'}]"
"I need to transfer a specific amount.",transfer_money,"[]"
"List transactions between $10 and $20.",get_transactions,"[{'entity': 'amount_range', 'value': '10 and 20'}]"
"How to open a custodial account.",open_account,"[{'entity': 'product', 'value': 'custodial account'}]"
"I need the customer service number.",contact_support,"[{'entity': 'channel', 'value': 'customer service number'}]"
"Balance of account 654321.",get_balance,"[{'entity': 'account_number', 'value': '654321'}]"
"Transfer $50 from my secondary account.",transfer_money,"[{'entity': 'amount', 'value': '50'}, {'entity': 'source_account', 'value': 'secondary'}]"
"Show transactions from the past month.",get_transactions,"[{'entity': 'timeframe', 'value': 'past month'}]"
"I need to open a new IRA.",open_account,"[{'entity': 'product', 'value': 'IRA'}]"
"I have a billing question.",contact_support,"[{'entity': 'topic', 'value': 'billing question'}]"
"What's the balance on my personal loan?",get_balance,"[{'entity': 'account_type', 'value': 'personal loan'}]"
"Transfer 100 dollars to John Smith.",transfer_money,"[{'entity': 'amount', 'value': '100'}, {'entity': 'recipient', 'value': 'John Smith'}]"
"Show me all payments I made.",get_transactions,"[{'entity': 'transaction_type', 'value': 'payments'}]"
"I want to get a cash advance.",open_account,"[{'entity': 'product', 'value': 'cash advance'}]"
"Connect me to the account services department.",contact_support,"[{'entity': 'department', 'value': 'account services'}]"
"Current funds in my savings.",get_balance,"[{'entity': 'account_type', 'value': 'savings'}]"
"Move $100 to account 123456 immediately.",transfer_money,"[{'entity': 'amount', 'value': '100'}, {'entity': 'destination_account', 'value': '123456'}, {'entity': 'timeframe', 'value': 'immediately'}]"
"List transactions by date and time.",get_transactions,"[{'entity': 'sort_by', 'value': 'date and time'}]"
"Apply for a business credit card.",open_account,"[{'entity': 'product', 'value': 'business credit card'}]"
"I received an alert about unusual activity.",contact_support,"[{'entity': 'problem', 'value': 'unusual activity'}]"
"Balance of my HSA.",get_balance,"[{'entity': 'account_type', 'value': 'HSA'}]"
"Transfer 200 dollars to my wife's checking account on the 20th.",transfer_money,"[{'entity': 'amount', 'value': '200'}, {'entity': 'recipient', 'value': 'wife'}, {'entity': 'destination_account', 'value': 'checking'}, {'entity': 'timeframe', 'value': '20th'}]"
"What were my expenses yesterday?",get_transactions,"[{'entity': 'timeframe', 'value': 'yesterday'}]"
"Open a new investment account.",open_account,"[{'entity': 'product', 'value': 'investment account'}]"
"I need the phone number for the nearest branch.",contact_support,"[{'entity': 'channel', 'value': 'phone number'}, {'entity': 'location_type', 'value': 'nearest branch'}]"
"How much is in account 789012?",get_balance,"[{'entity': 'account_number', 'value': '789012'}]"
"Transfer 500 dollars to an external bank.",transfer_money,"[{'entity': 'amount', 'value': '500'}, {'entity': 'destination_type', 'value': 'external bank'}]"
"Show me transactions between March 1 and March 31.",get_transactions,"[{'entity': 'timeframe', 'value': 'March 1 and March 31'}]"
"I want to open a new money market account.",open_account,"[{'entity': 'product', 'value': 'money market account'}]"
"My account was frozen.",contact_support,"[{'entity': 'problem', 'value': 'account frozen'}]"
"What is the available balance on my debit card?",get_balance,"[{'entity': 'account_type', 'value': 'debit card'}]"
"Move $30 from the primary account to the secondary account.",transfer_money,"[{'entity': 'amount', 'value': '30'}, {'entity': 'source_account', 'value': 'primary'}, {'entity': 'destination_account', 'value': 'secondary'}]"
"List transactions that are currently pending.",get_transactions,"[{'entity': 'status', 'value': 'pending'}]"
"Tell me about a new CD for a year.",open_account,"[{'entity': 'product', 'value': 'CD'}, {'entity': 'timeframe', 'value': 'a year'}]"
"I need to report my card stolen.",contact_support,"[{'entity': 'action', 'value': 'report stolen card'}]"
"Current balance is good?",get_balance,"[]"
"Transfer $20 every Friday.",transfer_money,"[{'entity': 'amount', 'value': '20'}, {'entity': 'frequency', 'value': 'Friday'}]"
"Show me my medical expenses.",get_transactions,"[{'entity': 'category', 'value': 'medical expenses'}]"
"How to open a 401k.",open_account,"[{'entity': 'product', 'value': '401k'}]"
"My password reset link expired.",contact_support,"[{'entity': 'problem', 'value': 'password reset link expired'}]"
"Balance of my rewards credit card.",get_balance,"[{'entity': 'account_type', 'value': 'rewards credit card'}]"
"Move $75 from my checking account now.",transfer_money,"[{'entity': 'amount', 'value': '75'}, {'entity': 'source_account', 'value': 'checking'}, {'entity': 'timeframe', 'value': 'now'}]"
"List all direct deposits.",get_transactions,"[{'entity': 'transaction_type', 'value': 'direct deposits'}]"
"I want to apply for a small personal loan.",open_account,"[{'entity': 'product', 'value': 'small personal loan'}]"
"I need to talk about my loan.",contact_support,"[{'entity': 'topic', 'value': 'loan'}]"
"What is the balance on account 111111?",get_balance,"[{'entity': 'account_number', 'value': '111111'}]"
"Transfer $1000 on the last day of the month.",transfer_money,"[{'entity': 'amount', 'value': '1000'}, {'entity': 'timeframe', 'value': 'last day of the month'}]"
"Show me transactions for the last two weeks.",get_transactions,"[{'entity': 'timeframe', 'value': 'last two weeks'}]"
"New application for a wealth account.",open_account,"[{'entity': 'product', 'value': 'wealth account'}]"
"I have a question about interest rates.",contact_support,"[{'entity': 'topic', 'value': 'interest rates'}]"
"Current funds in my reserve account.",get_balance,"[{'entity': 'account_type', 'value': 'reserve account'}]"
"Transfer 40 dollars from savings to checking account 987.",transfer_money,"[{'entity': 'amount', 'value': '40'}, {'entity': 'source_account', 'value': 'savings'}, {'entity': 'destination_account', 'value': 'checking 987'}]"
"Show transactions between $50 and $100.",get_transactions,"[{'entity': 'amount_range', 'value': '50 and 100'}]"
"I want to open a basic checking account.",open_account,"[{'entity': 'product', 'value': 'basic checking account'}]"
"Is there a help desk?",contact_support,"[{'entity': 'channel', 'value': 'help desk'}]"
"What is the total balance?",get_balance,"[]"
"Schedule a transfer of $150 every month.",transfer_money,"[{'entity': 'amount', 'value': '150'}, {'entity': 'frequency', 'value': 'monthly'}]"
