query,intent,entities
Remove beneficiary Neha,beneficiary_remove,{'person': 'Neha'}
What is the savings interest rate?,interest_rate,{}
Change my debit card PIN,change_pin,{}
Update email id,update_details,{}
Deposit salary of 5329,deposit_money,{'amount': '5329'}
Add payee Divya account 838689870,beneficiary_add,"{'account_number': '838689870', 'person': 'Divya'}"
Update my KYC documents,kyc_update,{}
Deactivate my credit card now,block_card,{}
Reset my ATM PIN,pin_reset,{}
Update email id,update_details,{}
Reset my ATM PIN,pin_reset,{}
What is today's forex rate for USD?,forex_inquiry,{}
Check cashback offers,cashback_inquiry,{}
Tell me FD rates,interest_rate,{}
Change my debit card PIN,change_pin,{}
Deactivate my credit card now,block_card,{}
Update my address to Hyderabad,update_details,{'location': 'Hyderabad'}
Deposit 18755 to account 833975732,deposit_money,"{'account_number': '833975732', 'amount': '18755'}"
Change my phone number,update_details,{}
How to close my account?,close_account,{}
Close my fd account,close_account,{'account_type': 'fd'}
"Forgot PIN, how to reset?",pin_reset,{}
Show account statement for 25/12/2024,statement_request,{'date': '25/12/2024'}
Add a beneficiary named Priya account 100152973,beneficiary_add,"{'account_number': '100152973', 'person': 'Priya'}"
Send 28066 to Arjun today,transfer_money,"{'amount': '28066', 'person': 'Arjun'}"
What is my account balance as on 06/01/2026,check_balance,{'date': '06/01/2026'}
Please stop cheque 774751,stop_cheque,{'cheque_number': '774751'}
I need my bank statement,statement_request,{}
"Forgot PIN, how to reset?",pin_reset,{}
Deposit salary of ₹32756,deposit_money,{'amount': '32756'}
Pay internet bill 48760 on 28/02/2026,pay_bill,"{'amount': '48760', 'date': '28/02/2026', 'bill_type': 'internet'}"
What is my account balance as on 16/02/2025,check_balance,{'date': '16/02/2025'}
Please stop cheque 858889,stop_cheque,{'cheque_number': '858889'}
Stop cheque number 511346,stop_cheque,{'cheque_number': '511346'}
Update email id,update_details,{}
How to apply for a personal loan?,loan_inquiry,{}
I want to dispute a transaction of 40619,dispute_transaction,{'amount': '40619'}
Open a new rd account,open_account,{'account_type': 'rd'}
Delete payee Irfan,beneficiary_remove,{'person': 'Irfan'}
Open fixed deposit account,open_account,{}
Change my debit card PIN,change_pin,{}
Tell me a joke,out_of_scope,{}
Check cashback offers,cashback_inquiry,{}
I want to change PIN,change_pin,{}
Update email id,update_details,{}
Update my KYC documents,kyc_update,{}
How do I get cashback on my card?,cashback_inquiry,{}
Card not working,card_inquiry,{}
Change my debit card PIN,change_pin,{}
Send me last 6 months statement,statement_request,{}
What is my account balance as on 21/04/2024,check_balance,{'date': '21/04/2024'}
I need my bank statement,statement_request,{}
I want information about education loan,loan_inquiry,{'loan_type': 'education'}
There is an unauthorized transaction on my account,dispute_transaction,{}
Please stop cheque 343170,stop_cheque,{'cheque_number': '343170'}
Order cheque book for my account,request_chequebook,{}
Check cashback offers,cashback_inquiry,{}
Tell me about my credit card status,card_inquiry,{}
Locate branch in Kolkata,branch_locator,{'location': 'Kolkata'}
Add a beneficiary named Simran account 781666471,beneficiary_add,"{'account_number': '781666471', 'person': 'Simran'}"
"Forgot PIN, how to reset?",pin_reset,{}
Locate branch in Bengaluru,branch_locator,{'location': 'Bengaluru'}
Tell me my savings balance,check_balance,{}
Close my savings account,close_account,{'account_type': 'savings'}
Close my joint account,close_account,{'account_type': 'joint'}
Withdraw 53698 from ATM,withdraw_money,{'amount': '53698'}
"I lost my card, block it immediately",block_card,{}
I want to change PIN,change_pin,{}
Open a new savings account,open_account,{'account_type': 'savings'}
Block my debit card,block_card,{}
Find branch near Pune,branch_locator,{'location': 'Pune'}
"Forgot PIN, how to reset?",pin_reset,{}
End chat,goodbye,{}
I want to change PIN,change_pin,{}
How do I complete KYC?,kyc_update,{}
Please stop cheque 849014,stop_cheque,{'cheque_number': '849014'}
How to close my account?,close_account,{}
What is my account balance as on 13/12/2026,check_balance,{'date': '13/12/2026'}
Reset my ATM PIN,pin_reset,{}
Where is the nearest branch?,branch_locator,{}
Convert 100 USD to INR,forex_inquiry,{}
Convert 100 USD to INR,forex_inquiry,{}
I want to change PIN,change_pin,{}
Tell me my savings balance,check_balance,{}
Transfer 19929 on 08/02/2025 to account 535513487,transfer_money,"{'account_number': '535513487', 'amount': '19929', 'date': '08/02/2025'}"
Update my address to Nagpur,update_details,{'location': 'Nagpur'}
Open fixed deposit account,open_account,{}
Update my address to Thane,update_details,{'location': 'Thane'}
Tell me my savings balance,check_balance,{}
Update my address to Chennai,update_details,{'location': 'Chennai'}
Reset my ATM PIN,pin_reset,{}
When is my EMI due?,loan_inquiry,{}
Find branch near Dadar,branch_locator,{'location': 'Dadar'}
Block card ending with 2841,block_card,{'card_number': '2841'}
Send me last 6 months statement,statement_request,{}
Add payee Deepa account 878736109,beneficiary_add,"{'account_number': '878736109', 'person': 'Deepa'}"
Create standing instruction for EMI,standing_instruction,{}
Convert 100 USD to INR,forex_inquiry,{}
Open fixed deposit account,open_account,{}
"Forgot PIN, how to reset?",pin_reset,{}
There is an unauthorized transaction on my account,dispute_transaction,{}
Tell me a joke,out_of_scope,{}
Deposit salary of 46319,deposit_money,{'amount': '46319'}
Create standing instruction for EMI,standing_instruction,{}
Show my recent card transactions,card_inquiry,{}
Stop cheque number 171734,stop_cheque,{'cheque_number': '171734'}
How to close my account?,close_account,{}
Delete payee Ankit,beneficiary_remove,{'person': 'Ankit'}
I want to dispute a transaction of 80584,dispute_transaction,{'amount': '80584'}
Check available funds in my checking account,check_balance,{'account_type': 'checking'}
How to apply for a personal loan?,loan_inquiry,{}
Deposit 7900 to account 255740504,deposit_money,"{'account_number': '255740504', 'amount': '7900'}"
Deposit 97107 into my checking account,deposit_money,"{'account_type': 'checking', 'amount': '97107'}"
Pay water bill 39510 on 16/09/2024,pay_bill,"{'amount': '39510', 'date': '16/09/2024', 'bill_type': 'water'}"
Transfer 8383 to account 337062680,transfer_money,"{'account_number': '337062680', 'amount': '8383'}"
End chat,goodbye,{}
Transfer 49714 to account 736069336,transfer_money,"{'account_number': '736069336', 'amount': '49714'}"
I want to withdraw ₹38032,withdraw_money,{'amount': '38032'}
Reset my ATM PIN,pin_reset,{}
Open a new nri account,open_account,{'account_type': 'nri'}
Delete payee Divya,beneficiary_remove,{'person': 'Divya'}
Order cheque book for my account,request_chequebook,{}
Check cashback offers,cashback_inquiry,{}
I want to dispute a transaction of 80819,dispute_transaction,{'amount': '80819'}
Translate hello,out_of_scope,{}
Stop cheque number 334639,stop_cheque,{'cheque_number': '334639'}
Check cashback offers,cashback_inquiry,{}
How to close my account?,close_account,{}
End chat,goodbye,{}
"Forgot PIN, how to reset?",pin_reset,{}
Add payee Kabir account 335808700,beneficiary_add,"{'account_number': '335808700', 'person': 'Kabir'}"
How do I get cashback on my card?,cashback_inquiry,{}
How to apply for a personal loan?,loan_inquiry,{}
I need my bank statement,statement_request,{}
There is an unauthorized transaction on my account,dispute_transaction,{}
Add payee Irfan account 253737962,beneficiary_add,"{'account_number': '253737962', 'person': 'Irfan'}"
"I lost my card, block it immediately",block_card,{}
Check my debit card limit,card_inquiry,{}
"I lost my card, block it immediately",block_card,{}
Show loan interest rates,loan_inquiry,{}
Change my debit card PIN,change_pin,{}
Convert 100 USD to INR,forex_inquiry,{}
Tell me a joke,out_of_scope,{}
Create standing instruction for EMI,standing_instruction,{}
How do I get cashback on my card?,cashback_inquiry,{}
Change my debit card PIN,change_pin,{}
Check cashback offers,cashback_inquiry,{}
How do I get cashback on my card?,cashback_inquiry,{}
How do I complete KYC?,kyc_update,{}
Delete payee Priya,beneficiary_remove,{'person': 'Priya'}
Open fixed deposit account,open_account,{}
Convert 100 USD to INR,forex_inquiry,{}
Tell me my savings balance,check_balance,{}
Order cheque book for my account,request_chequebook,{}
Change my debit card PIN,change_pin,{}
Show my recent card transactions,card_inquiry,{}
Withdraw 23647 from my rd account,withdraw_money,"{'account_type': 'rd', 'amount': '23647'}"
Pay my mobile bill of ₹68511,pay_bill,"{'amount': '68511', 'bill_type': 'mobile'}"
Update email id,update_details,{}
Update my address to Hyderabad,update_details,{'location': 'Hyderabad'}
Set up a standing instruction to pay rent of 6889 monthly,standing_instruction,{'amount': '6889'}
Set up a standing instruction to pay rent of ₹65563 monthly,standing_instruction,{'amount': '65563'}
Find branch near Hyderabad,branch_locator,{'location': 'Hyderabad'}
Deposit 11231 to account 482547877,deposit_money,"{'account_number': '482547877', 'amount': '11231'}"
I want information about home loan,loan_inquiry,{'loan_type': 'home'}
Delete payee Maya,beneficiary_remove,{'person': 'Maya'}
Play music,out_of_scope,{}
Add a beneficiary named Karan account 817634738,beneficiary_add,"{'account_number': '817634738', 'person': 'Karan'}"
"Thank you, goodbye",goodbye,{}
Locate branch in Pune,branch_locator,{'location': 'Pune'}
Pay 35253 for gas,pay_bill,"{'amount': '35253', 'bill_type': 'gas'}"
Show my account balance,check_balance,{}
Send me last 6 months statement,statement_request,{}
Close my salary account,close_account,{'account_type': 'salary'}
"Forgot PIN, how to reset?",pin_reset,{}
Close my checking account,close_account,{'account_type': 'checking'}
Tell me about my credit card status,card_inquiry,{}
Open a new joint account,open_account,{'account_type': 'joint'}
Check available funds in my nri account,check_balance,{'account_type': 'nri'}
Deposit 48955 into my checking account,deposit_money,"{'account_type': 'checking', 'amount': '48955'}"
Add payee Rohan account 276246056,beneficiary_add,"{'account_number': '276246056', 'person': 'Rohan'}"
Create standing instruction for EMI,standing_instruction,{}
When is my EMI due?,loan_inquiry,{}
Add payee Ravi account 212478211,beneficiary_add,"{'account_number': '212478211', 'person': 'Ravi'}"
Send 73862 to Suman today,transfer_money,"{'amount': '73862', 'person': 'Suman'}"
How can I open an account?,open_account,{}
Tell me my savings balance,check_balance,{}
"I lost my card, block it immediately",block_card,{}
Reset my ATM PIN,pin_reset,{}
Block my debit card,block_card,{}
Close fixed deposit account,close_account,{}
Withdraw 68902 from ATM,withdraw_money,{'amount': '68902'}
Play music,out_of_scope,{}
Where is the nearest branch?,branch_locator,{}
Change my debit card PIN,change_pin,{}
Deactivate my credit card now,block_card,{}
What is today's forex rate for USD?,forex_inquiry,{}
Stop cheque number 387918,stop_cheque,{'cheque_number': '387918'}
Please stop cheque 423869,stop_cheque,{'cheque_number': '423869'}
Request a new chequebook,request_chequebook,{}
"Forgot PIN, how to reset?",pin_reset,{}
How do I get cashback on my card?,cashback_inquiry,{}
Close fixed deposit account,close_account,{}
I want to withdraw 77827,withdraw_money,{'amount': '77827'}
Add a beneficiary named Teja account 272372005,beneficiary_add,"{'account_number': '272372005', 'person': 'Teja'}"
Create standing instruction for EMI,standing_instruction,{}
Locate branch in Pune,branch_locator,{'location': 'Pune'}
What is my account balance as on 23/03/2023,check_balance,{'date': '23/03/2023'}
Open fixed deposit account,open_account,{}
Delete payee Kavita,beneficiary_remove,{'person': 'Kavita'}
I want to dispute a transaction of 44792,dispute_transaction,{'amount': '44792'}
How can I open an account?,open_account,{}
How do I complete KYC?,kyc_update,{}
Check my debit card limit,card_inquiry,{}
Update my address to Thane,update_details,{'location': 'Thane'}
Withdraw 84054 from ATM,withdraw_money,{'amount': '84054'}
Show balance of account 609521014,check_balance,{'account_number': '609521014'}
Block my debit card,block_card,{}
When is my EMI due?,loan_inquiry,{}
Check cashback offers,cashback_inquiry,{}
Remove beneficiary Deepa,beneficiary_remove,{'person': 'Deepa'}
I want to withdraw 80528,withdraw_money,{'amount': '80528'}
Add a beneficiary named Sahil account 939283839,beneficiary_add,"{'account_number': '939283839', 'person': 'Sahil'}"
Order cheque book for my account,request_chequebook,{}
Translate hello,out_of_scope,{}
Please transfer ₹60687 to Neha's account 453001960,transfer_money,"{'account_number': '453001960', 'amount': '60687', 'person': 'Neha'}"
What's the weather today?,out_of_scope,{}
Send me last 6 months statement,statement_request,{}
"Forgot PIN, how to reset?",pin_reset,{}
Open YouTube,out_of_scope,{}
When is my EMI due?,loan_inquiry,{}
How do I get cashback on my card?,cashback_inquiry,{}
Delete payee Anita,beneficiary_remove,{'person': 'Anita'}
Please transfer 80912 to Suman's account 852828991,transfer_money,"{'account_number': '852828991', 'amount': '80912', 'person': 'Suman'}"
Close fixed deposit account,close_account,{}
Remove beneficiary Suman,beneficiary_remove,{'person': 'Suman'}
Stop cheque number 700067,stop_cheque,{'cheque_number': '700067'}
Please stop cheque 557169,stop_cheque,{'cheque_number': '557169'}
How to close my account?,close_account,{}
Show me branch hours for Mumbai,branch_locator,{'location': 'Mumbai'}
Deposit 87692 into my savings account,deposit_money,"{'account_type': 'savings', 'amount': '87692'}"
When is my EMI due?,loan_inquiry,{}
Add payee Sahil account 455041725,beneficiary_add,"{'account_number': '455041725', 'person': 'Sahil'}"
Update email id,update_details,{}
Set up a standing instruction to pay rent of 45870 monthly,standing_instruction,{'amount': '45870'}
Deactivate my credit card now,block_card,{}
Deactivate my credit card now,block_card,{}
Add payee Kabir account 609339975,beneficiary_add,"{'account_number': '609339975', 'person': 'Kabir'}"
Show balance of account 866657391,check_balance,{'account_number': '866657391'}
Update my KYC documents,kyc_update,{}
Withdraw 70625 from my joint account,withdraw_money,"{'account_type': 'joint', 'amount': '70625'}"
Please stop cheque 584106,stop_cheque,{'cheque_number': '584106'}
Reset my ATM PIN,pin_reset,{}
Find branch near Nagpur,branch_locator,{'location': 'Nagpur'}
Tell me about my credit card status,card_inquiry,{}
Tell me FD rates,interest_rate,{}
Show my recent card transactions,card_inquiry,{}
There is an unauthorized transaction on my account,dispute_transaction,{}
Update email id,update_details,{}
Show my account balance,check_balance,{}
Reset my ATM PIN,pin_reset,{}
Block card ending with 6154,block_card,{'card_number': '6154'}
I need my bank statement,statement_request,{}
Check available funds in my nri account,check_balance,{'account_type': 'nri'}
Reset my ATM PIN,pin_reset,{}
Tell me a joke,out_of_scope,{}
Where is the nearest branch?,branch_locator,{}
Tell me my savings balance,check_balance,{}
I want to dispute a transaction of 5818,dispute_transaction,{'amount': '5818'}
Add a beneficiary named Anita account 45178545,beneficiary_add,"{'account_number': '45178545', 'person': 'Anita'}"
Send me last 6 months statement,statement_request,{}
Close fixed deposit account,close_account,{}
Convert 100 USD to INR,forex_inquiry,{}
I want to withdraw 6632,withdraw_money,{'amount': '6632'}
What is the savings interest rate?,interest_rate,{}
What is today's forex rate for USD?,forex_inquiry,{}
There is an unauthorized transaction on my account,dispute_transaction,{}
Deposit salary of 9149,deposit_money,{'amount': '9149'}
How do I complete KYC?,kyc_update,{}
Reset my ATM PIN,pin_reset,{}
Delete payee Maya,beneficiary_remove,{'person': 'Maya'}
Show me branch hours for Pune,branch_locator,{'location': 'Pune'}
Please transfer 22149 to Meena's account 224832604,transfer_money,"{'account_number': '224832604', 'amount': '22149', 'person': 'Meena'}"
Order cheque book for my account,request_chequebook,{}
Reset my ATM PIN,pin_reset,{}
Withdraw 52923 from ATM,withdraw_money,{'amount': '52923'}
Deposit ₹27988 into my rd account,deposit_money,"{'account_type': 'rd', 'amount': '27988'}"
Find branch near Hyderabad,branch_locator,{'location': 'Hyderabad'}
Reset my ATM PIN,pin_reset,{}
Block my debit card,block_card,{}
I want to dispute a transaction of ₹16924,dispute_transaction,{'amount': '16924'}
I want to dispute a transaction of 6336,dispute_transaction,{'amount': '6336'}
Show balance of account 333889270,check_balance,{'account_number': '333889270'}
Create standing instruction for EMI,standing_instruction,{}
How to close my account?,close_account,{}
Close my nri account,close_account,{'account_type': 'nri'}
Tell me FD rates,interest_rate,{}
Withdraw ₹11942 from ATM,withdraw_money,{'amount': '11942'}
Create standing instruction for EMI,standing_instruction,{}
Update my KYC documents,kyc_update,{}
Card not working,card_inquiry,{}
Order cheque book for my account,request_chequebook,{}
I want to dispute a transaction of 22153,dispute_transaction,{'amount': '22153'}
I want to change PIN,change_pin,{}
Pay subscription bill 91955 on 19/07/2024,pay_bill,"{'amount': '91955', 'date': '19/07/2024', 'bill_type': 'subscription'}"
Show me branch hours for Andheri,branch_locator,{'location': 'Andheri'}
Tell me FD rates,interest_rate,{}
Pay loan bill 3134 on 16/01/2026,pay_bill,"{'amount': '3134', 'date': '16/01/2026', 'bill_type': 'loan'}"
Pay my loan bill of 91345,pay_bill,"{'amount': '91345', 'bill_type': 'loan'}"
There is an unauthorized transaction on my account,dispute_transaction,{}
Deposit salary of 6708,deposit_money,{'amount': '6708'}
"Thank you, goodbye",goodbye,{}
I want to withdraw ₹13455,withdraw_money,{'amount': '13455'}
I want to change PIN,change_pin,{}
Update my KYC documents,kyc_update,{}
Please stop cheque 356902,stop_cheque,{'cheque_number': '356902'}
Please transfer 51181 to Maya's account 205098080,transfer_money,"{'account_number': '205098080', 'amount': '51181', 'person': 'Maya'}"
Pay my internet bill of 48804,pay_bill,"{'amount': '48804', 'bill_type': 'internet'}"
Remove beneficiary Rohit,beneficiary_remove,{'person': 'Rohit'}
Open a new fd account,open_account,{'account_type': 'fd'}
Transfer 10119 on 18/11/2025 to account 568676911,transfer_money,"{'account_number': '568676911', 'amount': '10119', 'date': '18/11/2025'}"
Pay credit_card bill ₹41313 on 25/08/2023,pay_bill,"{'amount': '41313', 'date': '25/08/2023', 'bill_type': 'credit_card'}"
Tell me FD rates,interest_rate,{}
Open a new joint account,open_account,{'account_type': 'joint'}
Request a new chequebook,request_chequebook,{}
Create standing instruction for EMI,standing_instruction,{}
Pay my mobile bill of 63275,pay_bill,"{'amount': '63275', 'bill_type': 'mobile'}"
I want information about car loan,loan_inquiry,{'loan_type': 'car'}
Convert 100 USD to INR,forex_inquiry,{}
Create standing instruction for EMI,standing_instruction,{}
What is the savings interest rate?,interest_rate,{}
Deactivate my credit card now,block_card,{}
Change my debit card PIN,change_pin,{}
I want to dispute a transaction of 43734,dispute_transaction,{'amount': '43734'}
Set up a standing instruction to pay rent of 85232 monthly,standing_instruction,{'amount': '85232'}
Deposit 38147 into my nri account,deposit_money,"{'account_type': 'nri', 'amount': '38147'}"
Locate branch in Jaipur,branch_locator,{'location': 'Jaipur'}
Block my debit card,block_card,{}
How to close my account?,close_account,{}
I need my bank statement,statement_request,{}
Stop cheque number 103225,stop_cheque,{'cheque_number': '103225'}
Change my phone number,update_details,{}
Add payee Isha account 809040969,beneficiary_add,"{'account_number': '809040969', 'person': 'Isha'}"
How do I get cashback on my card?,cashback_inquiry,{}
How can I open an account?,open_account,{}
Stop cheque number 687997,stop_cheque,{'cheque_number': '687997'}
How to apply for a personal loan?,loan_inquiry,{}
Request a new chequebook,request_chequebook,{}
Deactivate my credit card now,block_card,{}
Stop cheque number 916776,stop_cheque,{'cheque_number': '916776'}
How do I get cashback on my card?,cashback_inquiry,{}
Check available funds in my savings account,check_balance,{'account_type': 'savings'}
Create standing instruction for EMI,standing_instruction,{}
Show loan interest rates,loan_inquiry,{}
Show account statement for 25/08/2024,statement_request,{'date': '25/08/2024'}
Add payee Kabir account 361893170,beneficiary_add,"{'account_number': '361893170', 'person': 'Kabir'}"
Show me branch hours for Thane,branch_locator,{'location': 'Thane'}
Send 13671 to Maya today,transfer_money,"{'amount': '13671', 'person': 'Maya'}"
Deposit 17196 into my joint account,deposit_money,"{'account_type': 'joint', 'amount': '17196'}"
Set up a standing instruction to pay rent of 85143 monthly,standing_instruction,{'amount': '85143'}
Card not working,card_inquiry,{}
Open fixed deposit account,open_account,{}
Show account statement for 01/03/2023,statement_request,{'date': '01/03/2023'}
Set up a standing instruction to pay rent of 71363 monthly,standing_instruction,{'amount': '71363'}
When is my EMI due?,loan_inquiry,{}
Tell me FD rates,interest_rate,{}
Please stop cheque 301332,stop_cheque,{'cheque_number': '301332'}
Show my recent card transactions,card_inquiry,{}
Set up a standing instruction to pay rent of ₹46557 monthly,standing_instruction,{'amount': '46557'}
Change my phone number,update_details,{}
Deactivate my credit card now,block_card,{}
"Forgot PIN, how to reset?",pin_reset,{}
How do I get cashback on my card?,cashback_inquiry,{}
I want to withdraw 99042,withdraw_money,{'amount': '99042'}
I want to dispute a transaction of 25441,dispute_transaction,{'amount': '25441'}
Change my phone number,update_details,{}
Remove beneficiary Tanvi,beneficiary_remove,{'person': 'Tanvi'}
Add a beneficiary named Ankit account 226642925,beneficiary_add,"{'account_number': '226642925', 'person': 'Ankit'}"
Update email id,update_details,{}
Open a new salary account,open_account,{'account_type': 'salary'}
Pay my internet bill of 91461,pay_bill,"{'amount': '91461', 'bill_type': 'internet'}"
Update my address to Delhi,update_details,{'location': 'Delhi'}
Set up a standing instruction to pay rent of 71306 monthly,standing_instruction,{'amount': '71306'}
Tell me FD rates,interest_rate,{}
Show me branch hours for Bengaluru,branch_locator,{'location': 'Bengaluru'}
Add payee Deepa account 728536750,beneficiary_add,"{'account_number': '728536750', 'person': 'Deepa'}"
What is the savings interest rate?,interest_rate,{}
I want to change PIN,change_pin,{}
Show my recent card transactions,card_inquiry,{}
Order cheque book for my account,request_chequebook,{}
Card not working,card_inquiry,{}
What is my account balance as on 01/12/2026,check_balance,{'date': '01/12/2026'}
Add a beneficiary named Rohan account 391059332,beneficiary_add,"{'account_number': '391059332', 'person': 'Rohan'}"
Tell me FD rates,interest_rate,{}
Update my KYC documents,kyc_update,{}
Open a new nri account,open_account,{'account_type': 'nri'}
"Forgot PIN, how to reset?",pin_reset,{}
Send me last 6 months statement,statement_request,{}
Convert 100 USD to INR,forex_inquiry,{}
Add a beneficiary named Rohan account 519426877,beneficiary_add,"{'account_number': '519426877', 'person': 'Rohan'}"
How to close my account?,close_account,{}
Deposit 23133 into my checking account,deposit_money,"{'account_type': 'checking', 'amount': '23133'}"
What is today's forex rate for USD?,forex_inquiry,{}
Deactivate my credit card now,block_card,{}
Update my KYC documents,kyc_update,{}
Show my account balance,check_balance,{}
Deposit ₹74893 into my joint account,deposit_money,"{'account_type': 'joint', 'amount': '74893'}"
Update my address to Bengaluru,update_details,{'location': 'Bengaluru'}
There is an unauthorized transaction on my account,dispute_transaction,{}
Deposit salary of ₹37778,deposit_money,{'amount': '37778'}
Where is the nearest branch?,branch_locator,{}
Change my phone number,update_details,{}
What is today's forex rate for USD?,forex_inquiry,{}
How to close my account?,close_account,{}
Deposit ₹16282 to account 964777727,deposit_money,"{'account_number': '964777727', 'amount': '16282'}"
Bye,goodbye,{}
Deactivate my credit card now,block_card,{}
Remove beneficiary Ankit,beneficiary_remove,{'person': 'Ankit'}
Bye,goodbye,{}
Change my debit card PIN,change_pin,{}
Update email id,update_details,{}
Tell me FD rates,interest_rate,{}
What is the savings interest rate?,interest_rate,{}
